ID,Description,Calories,Protein,TotalFat,Carbohydrate,Sodium,SaturatedFat,Cholesterol,Sugar,Calcium,Iron,Potassium,VitaminC,VitaminE,VitaminD
283,"BEVERAGE,INST BRKFST PDR,CHOC,SUGAR-FREE,NOT RECON",358.0,35.8,5.1,41.0,717.0,2.162,44.0,39.0,500.0,2.3,1705.0,138.0,16.88,0.0
284,"CHEESE,PARMESAN,LO NA",451.0,41.6,29.99,3.7,63.0,19.051,79.0,0.85,1376.0,0.95,107.0,0.0,0.27,0.6
285,"COFFEE&COCOA (MOCHA) PDR,W/WHTNR&LO CAL SWTNR",257.0,9.0,13.21,71.4,500.0,11.376,0.0,34.98,60.0,3.06,1856.0,0.0,0.09,0.0
286,"FRUIT-FLAVORED DRK,PDR,W/ HI VIT C W/ OTHER ADDED VIT,LO CAL",227.0,0.25,0.16,91.0,14.0,0.01,0.0,0.0,800.0,0.08,2518.0,2400.0,0.02,0.0
287,"LAMB,VAR MEATS&BY-PRODUCTS,SPLEEN,RAW",101.0,17.2,3.1,0.0,84.0,1.03,250.0,,9.0,41.89,358.0,23.0,,
288,"LAMB,VAR MEATS&BY-PRODUCTS,SPLEEN,CKD,BRSD",156.0,26.46,4.77,0.0,58.0,1.58,385.0,,13.0,38.67,248.0,26.0,,
289,"RADISHES,ORIENTAL,DRIED",271.0,7.9,0.72,63.37,278.0,0.218,0.0,37.32,629.0,6.73,3494.0,0.0,0.01,0.0
290,YEAST EXTRACT SPREAD,185.0,23.88,0.9,20.42,2962.0,0.0,0.0,1.6,67.0,4.04,2100.0,0.0,0.0,0.0
291,"CEREALS RTE,POST,HONEY BUNCHES OF OATS,HONEY RSTD",398.0,7.1,5.0,83.0,499.0,0.7,0.0,20.3,21.0,36.0,179.0,0.0,0.84,3.3
292,"CELERY FLAKES,DRIED",319.0,11.3,2.1,63.7,1435.0,0.555,0.0,35.9,587.0,7.83,4388.0,86.5,5.55,0.0
293,"PUDDINGS,CHOC FLAVOR,LO CAL,REG,DRY MIX",365.0,10.08,3.0,74.42,3326.0,1.578,0.0,0.7,1512.0,3.87,570.0,0.0,0.02,0.0
294,VITAL WHEAT GLUTEN,370.0,75.16,1.85,13.79,29.0,0.272,0.0,0.0,142.0,5.2,100.0,0.0,0.0,0.0
295,"MACKEREL,SALTED",305.0,18.5,25.1,0.0,4450.0,7.148,95.0,0.0,66.0,1.4,520.0,0.0,2.38,25.2
296,TOMATO POWDER,302.0,12.91,0.44,74.68,134.0,0.062,0.0,43.9,166.0,4.56,1927.0,116.7,12.25,0.0
297,"CHIVES,FREEZE-DRIED",311.0,21.2,3.5,64.29,70.0,0.591,0.0,,813.0,20.0,2960.0,660.0,,0.0
298,"DRUMSTICK PODS,RAW",37.0,2.1,0.2,8.53,42.0,0.033,0.0,,30.0,0.36,461.0,141.0,,0.0
299,"KALE,SCOTCH,RAW",42.0,2.8,0.6,8.32,70.0,0.078,0.0,,205.0,3.0,450.0,130.0,,0.0
300,"LEEKS,(BULB&LOWER-LEAF PORTION),FREEZE-DRIED",321.0,15.2,2.1,74.65,35.0,0.279,0.0,,360.0,7.6,2400.0,118.0,,0.0
301,"PARSLEY,FREEZE-DRIED",271.0,31.3,5.2,42.38,391.0,,0.0,,176.0,53.9,6300.0,149.0,,0.0
302,"PEPPERS,SWT,GRN,FREEZE-DRIED",314.0,17.9,3.0,68.7,193.0,0.447,0.0,38.48,134.0,10.4,3170.0,1900.0,4.0,0.0
303,"SEAWEED,SPIRULINA,DRIED",290.0,57.47,7.72,23.9,1048.0,2.65,0.0,3.1,120.0,28.5,1363.0,10.1,5.0,0.0
304,"PEPPERS,HOT CHILI,GRN,RAW",40.0,2.0,0.2,9.46,7.0,0.021,0.0,5.1,18.0,1.2,340.0,242.5,0.69,0.0
305,"CARROT,DEHYDRATED",341.0,8.1,1.49,79.57,275.0,0.256,0.0,38.82,212.0,3.93,2540.0,14.6,5.45,0.0
306,"PEPPERS,HOT CHILI,RED,RAW",40.0,1.87,0.44,8.81,9.0,0.042,0.0,5.3,14.0,1.03,322.0,143.7,0.69,0.0
307,"PEPPERS,SWT,RED,RAW",31.0,0.99,0.3,6.03,4.0,0.027,0.0,4.2,7.0,0.43,211.0,127.7,1.58,0.0
308,"PEPPERS,SWT,RED,CKD,BLD,DRND,WO/SALT",28.0,0.92,0.2,6.7,2.0,0.029,0.0,4.39,9.0,0.46,166.0,171.0,1.65,0.0
309,"PEPPERS,SWT,RED,CKD,BLD,DRND,W/SALT",26.0,0.92,0.2,6.11,238.0,0.029,0.0,4.39,9.0,0.46,166.0,171.0,1.65,0.0
310,"LEAVENING AGENTS,BAKING PDR,DOUBLE-ACTING,NA AL SULFATE",53.0,0.0,0.0,27.7,10600.0,0.0,0.0,0.0,5876.0,11.02,20.0,0.0,0.0,0.0
311,"LEAVENING AGENTS,BAKING PDR,DOUBLE-ACTING,STRAIGHT PO4",51.0,0.1,0.0,24.1,7893.0,0.0,0.0,0.0,7364.0,11.27,5.0,0.0,0.0,0.0
312,"LEAVENING AGENTS,BAKING PDR,LOW-SODIUM",97.0,0.1,0.4,46.9,90.0,0.073,0.0,0.0,4332.0,8.17,10100.0,0.0,0.0,0.0
313,"LEAVENING AGENTS,CRM OF TARTAR",258.0,0.0,0.0,61.5,52.0,0.0,0.0,0.0,8.0,3.72,16500.0,0.0,0.0,0.0
314,"LEAVENING AGENTS,YEAST,BAKER'S,ACTIVE DRY",325.0,40.44,7.61,41.22,51.0,1.001,0.0,0.0,30.0,2.17,955.0,0.3,0.0,0.0
315,"PEPPERS,SWT,RED,SAUTEED",133.0,1.04,12.75,6.57,21.0,1.557,0.0,4.28,7.0,0.47,193.0,162.8,3.09,0.0
316,"PEPPERS,SWT,RED,FREEZE-DRIED",314.0,17.9,3.0,68.7,193.0,0.447,0.0,40.77,134.0,10.4,3170.0,1900.0,4.0,0.0
317,"MUSHROOMS,PORTABELLA,EXPOSED TO UV LT,GRILLED",29.0,3.28,0.58,4.44,11.0,0.067,,2.26,3.0,0.4,437.0,0.0,0.0,13.1
318,"PEPPERS,SWEET,YELLOW,RAW",27.0,1.0,0.21,6.32,2.0,0.031,0.0,,11.0,0.46,212.0,183.5,,0.0
319,"TOMATOES,SUN-DRIED",258.0,14.11,2.97,55.76,247.0,0.426,0.0,37.59,110.0,9.09,3427.0,39.2,0.01,0.0
320,"PEPPERS,HOT CHILE,SUN-DRIED",324.0,10.58,5.81,69.86,91.0,0.813,0.0,41.06,45.0,6.04,1870.0,31.4,3.14,0.0
321,"PEPPERS,ANCHO,DRIED",281.0,11.86,8.2,51.42,43.0,0.82,0.0,,61.0,10.93,2411.0,2.0,,0.0
322,"PEPPERS,PASILLA,DRIED",345.0,12.35,15.85,51.13,89.0,,0.0,,97.0,9.83,2222.0,6.4,,0.0
323,"MUSHROOMS,MAITAKE,RAW",31.0,1.94,0.19,6.97,1.0,0.03,0.0,2.07,1.0,0.3,204.0,0.0,0.01,28.1
324,"MUSHROOMS,PORTABELLA,EXPOSED TO UV LT,RAW",22.0,2.11,0.35,3.87,9.0,0.06,0.0,2.5,3.0,0.31,364.0,0.0,0.02,11.2
325,"SEEDS,BREADNUT TREE SEEDS,DRIED",367.0,8.62,1.68,79.39,53.0,0.454,0.0,,94.0,4.6,2011.0,46.6,,0.0
326,"COTTONSEED FLR,PART DEFATTED (GLANDLESS)",359.0,40.96,6.2,40.54,35.0,1.588,0.0,,478.0,12.66,1772.0,2.4,,0.0
327,"COTTONSEED FLR,LOFAT (GLANDLESS)",332.0,49.83,1.41,36.1,35.0,0.31,0.0,,474.0,12.58,1761.0,2.4,,0.0
328,"COTTONSEED MEAL,PART DEFATTED (GLANDLESS)",367.0,49.1,4.77,38.43,37.0,1.207,0.0,,504.0,13.35,1869.0,2.5,,0.0
329,"SESAME SEEDS,WHL,RSTD&TSTD",565.0,16.96,48.0,25.74,11.0,6.722,0.0,,989.0,14.76,475.0,0.0,,0.0
330,"SESAME FLR,PART DEFATTED",382.0,40.32,11.89,35.14,41.0,1.634,0.0,,150.0,14.3,425.0,0.0,,0.0
331,"SESAME FLOUR,LOW-FAT",333.0,50.14,1.75,35.51,39.0,0.201,0.0,,149.0,14.22,397.0,0.0,,0.0
332,"SUNFLOWER SD FLR,PART DEFATTED",326.0,48.06,1.61,35.83,3.0,0.138,0.0,,114.0,6.62,67.0,1.3,,0.0
333,"SISYMBRIUM SP. SEEDS,WHL,DRIED",318.0,12.14,4.6,58.26,92.0,0.902,0.0,,1633.0,0.11,2130.0,30.7,,
334,"FRUIT LEATHER,ROLLS",371.0,0.1,3.0,85.8,317.0,0.672,0.0,49.16,32.0,1.01,294.0,120.0,0.56,0.0
335,"PORK SKINS,PLAIN",544.0,61.3,31.3,0.0,1818.0,11.37,95.0,0.0,30.0,0.88,127.0,0.5,0.53,0.0
336,"BEEF,VAR MEATS&BY-PRODUCTS,SPLEEN,RAW",105.0,18.3,3.0,0.0,85.0,1.0,263.0,,9.0,44.55,429.0,45.5,,
337,"BEEF,VAR MEATS&BY-PRODUCTS,SPLEEN,CKD,BRSD",145.0,25.1,4.2,0.0,57.0,1.39,347.0,,12.0,39.36,284.0,50.3,,
338,"CEREALS RTE,GENERAL MILLS,CHEERIOS",367.0,11.33,5.9,74.68,571.0,0.954,0.0,4.02,408.0,31.77,609.0,24.4,0.68,3.6
339,"CEREALS RTE,POST,COCOA PEBBLES",397.0,4.7,4.2,85.8,633.0,3.7,0.0,37.2,21.0,6.0,177.0,0.0,0.13,8.3
340,"CEREALS RTE,RALSTON CRISPY RICE",364.0,6.69,1.26,86.22,763.0,0.36,0.0,7.65,5.0,32.73,110.0,64.5,0.06,3.0
341,"CEREALS RTE,KELLOGG,KELLOGG'S ALL-BRAN COMPLETE WHEAT FLAKES",318.0,10.0,2.0,79.0,715.0,0.4,0.0,17.0,52.0,62.0,590.0,207.0,46.35,3.5
342,"CEREALS RTE,KELLOGG'S FRSTD MINI-WHEATS,BIG BITE",343.0,9.0,1.6,82.0,10.0,0.36,0.0,21.0,33.0,32.0,352.0,0.0,0.0,0.0
343,"CEREALS RTE,POST,FRUITY PEBBLES",400.0,4.3,4.0,86.2,630.0,3.6,0.0,38.0,17.0,6.0,67.0,20.0,0.13,8.3
344,"COCOA,DRY PDR,UNSWTND,PROC W/ALKALI",220.0,18.1,13.1,58.3,19.0,7.76,0.0,1.76,111.0,15.52,2509.0,0.0,0.1,0.0
345,"CEREALS RTE,POST,GRAPE-NUTS CRL",359.0,12.48,1.85,80.1,507.0,0.305,0.0,12.61,39.0,38.06,400.0,0.0,0.64,1.7
346,"COCOA,DRY PDR,UNSWTND,HERSHEY'S EUROPEAN STYLE COCOA",400.0,20.0,10.0,60.0,0.0,0.0,0.0,0.0,0.0,36.0,,0.0,,
347,"CEREALS RTE,POST,HONEYCOMB CRL",396.0,6.2,3.0,87.4,541.0,1.3,0.0,32.4,16.0,8.4,156.0,0.0,0.17,7.8
348,"CEREALS RTE,GENERAL MILLS,KIX",367.0,7.69,3.46,82.82,633.0,0.576,0.0,9.76,570.0,32.0,200.0,25.4,0.25,3.3
349,"GELATINS,DRY PDR,UNSWTND",335.0,85.6,0.1,0.0,196.0,0.07,0.0,0.0,55.0,1.11,16.0,0.0,0.0,0.0
350,"CEREALS RTE,KELLOGG,KELLOGG'S PRODUCT 19",333.0,7.7,1.4,83.0,690.0,0.3,0.0,13.3,16.0,60.3,167.0,204.0,45.0,3.3
351,"CEREALS RTE,GENERAL MILLS,RICE CHEX",370.0,7.41,1.0,85.19,889.0,0.22,0.0,7.41,370.0,33.33,167.0,22.2,0.65,3.7
352,"CEREALS RTE,KELLOGG,KELLOGG'S RICE KRISPIES",381.0,6.84,0.96,85.24,561.0,0.216,0.0,10.9,7.0,34.4,88.0,47.0,10.35,3.8
353,"CEREALS RTE,GENERAL MILLS,WHL GRAIN TOTAL",333.0,6.67,1.67,76.67,633.0,0.406,0.0,16.67,3333.0,60.0,300.0,200.0,45.0,8.3
354,"CEREALS RTE,GENERAL MILLS,MULTI-GRAIN CHEERIOS",379.0,6.9,3.45,79.31,552.0,0.531,0.0,20.69,345.0,62.07,293.0,51.7,16.29,3.5
355,"CEREALS,QUAKER,CORN GRITS,INST,PLN,DRY",359.0,7.31,2.14,76.02,1050.0,0.362,0.0,1.51,378.0,38.75,163.0,0.0,0.05,0.0
356,"DESSERTS,RENNIN,TABLETS,UNSWTND",84.0,1.0,0.1,19.8,26050.0,0.041,0.0,,3733.0,7.07,292.0,0.0,,
357,"CEREALS,FARINA,ENR,ASSORTED BRANDS,DRY",360.0,11.6,1.41,73.19,124.0,0.232,0.0,0.56,711.0,33.39,153.0,0.0,0.33,0.0
358,"CEREALS,MALT-O-MEAL,PLN,DRY",361.0,11.8,1.27,75.6,10.0,0.299,1.0,1.1,508.0,55.7,170.0,1.0,,
359,"SNACKS,GENERAL MILLS,BETTY CROCKER FRT RL UPS,BRY FLV,W/VT C",373.0,0.1,3.5,85.2,317.0,0.99,,38.7,,,,120.0,,
360,"SNACKS,FRUIT LEATHER,PIECES,W/VIT C",373.0,0.1,3.5,85.2,317.0,0.99,0.0,,18.0,0.75,164.0,120.0,,
361,"CEREALS RTE,RICE,PUFFED,FORT",402.0,6.3,0.5,89.8,3.0,0.13,0.0,,6.0,31.7,113.0,0.0,,
362,"CEREALS,MALT-O-MEAL,CHOC,DRY",374.0,10.6,1.31,79.9,10.0,0.462,1.0,24.4,369.0,39.7,315.0,1.0,,
363,"CANDIES,MARS SNACKFOOD US,COCOAVIA CHOC BAR",539.0,5.81,29.3,62.99,7.0,15.703,0.0,39.19,1164.0,3.47,,42.6,12.27,
364,"CANDIES,MARS SNACK US,COCOAVIA BLUEBERRY & ALMOND CHOC BAR",525.0,6.35,28.68,60.37,8.0,13.07,0.0,38.99,985.0,3.18,,34.2,9.2,
365,"CANDIES,MARS SNACKFOOD US,COCOAVIA CRISPY CHOC BAR",517.0,8.21,26.23,62.06,40.0,14.007,0.0,34.96,1070.0,3.45,,37.9,10.13,
366,"CEREALS RTE,GENERAL MILLS,TOTAL CORN FLAKES",373.0,6.05,1.61,85.55,698.0,0.4,0.0,11.0,3333.0,60.0,94.0,200.0,45.0,2.9
367,"CEREALS RTE,GENERAL MILLS,TOTAL RAISIN BRAN",302.0,5.66,1.89,76.36,434.0,0.297,0.0,32.08,1887.0,33.96,528.0,0.0,24.55,4.7
368,"CEREALS RTE,KELLOGG,KELLOGG'S COMPLETE OAT BRAN FLAKES",350.0,11.0,3.5,77.0,699.0,0.8,0.0,20.0,54.0,63.0,400.0,210.0,41.85,3.5
369,"CEREALS RTE,KELLOGG,KELLOGG'S CRISPIX",370.0,6.7,0.5,85.7,751.0,0.1,0.0,12.1,10.0,33.6,135.0,21.0,0.14,4.1
370,"PORK SKINS,BARBECUE-FLAVOR",538.0,57.9,31.8,1.6,2667.0,11.56,115.0,,43.0,1.04,180.0,1.5,,
371,"CEREALS RTE,GENERAL MILLS,BERRY BERRY KIX",364.0,6.06,4.55,84.85,515.0,0.567,0.0,21.21,1515.0,5.45,212.0,27.3,0.8,3.3
372,"CEREALS RTE,KELLOGG,KELLOGG'S SMART START ANTIOXIDANTS CRL",365.0,7.0,1.41,86.0,550.0,0.27,0.0,28.0,24.0,36.0,180.0,30.0,27.0,2.0
373,"CEREALS RTE,GENERAL MILLS,MULTI-BRAN CHEX",340.0,8.51,3.19,82.98,574.0,0.716,0.0,21.28,213.0,34.47,383.0,12.8,0.31,2.1
374,"SNACKS,M&M MARS,KUDOS WHL GRAIN BARS,CHOC CHIP",420.0,4.47,13.02,72.31,246.0,4.701,136.0,38.78,1084.0,1.4,279.0,0.1,10.79,
375,"CEREALS RTE,MALT-O-MEAL,CRISPY RICE",381.0,6.3,1.13,86.4,909.0,0.465,1.0,9.0,7.0,35.1,124.0,62.1,0.11,3.3
376,"CEREALS RTE,MALT-O-MEAL,TOASTY O'S",404.0,13.1,5.92,74.6,897.0,1.23,1.0,3.9,406.0,32.7,317.0,20.5,0.66,2.8
377,"GELATIN DSSRT,DRY MIX,RED CAL,W/ ASPRT,ADDED P,K,NA,VIT C",345.0,55.3,0.0,33.3,2751.0,0.0,0.0,,2.0,0.02,1985.0,490.0,,
378,"GELATIN DSSRT,DRY MIX,RED CAL,W/ ASPRT,NO ADDED NA",345.0,55.3,0.0,33.3,158.0,0.0,0.0,,2.0,0.02,14.0,0.0,,
379,"COCOA,DRY PDR,HI-FAT OR BRKFST,PROC W/ALKALI",479.0,16.8,23.71,49.71,20.0,12.64,0.0,1.53,122.0,14.5,2509.0,0.0,0.18,0.0
380,"CEREALS,QUAKER,QUICK OATS W/ IRON,DRY",371.0,13.7,6.87,68.18,3.0,0.96,0.0,1.42,47.0,49.45,358.0,0.0,0.66,
381,"CEREALS RTE,MALT-O-MEAL,PUFFED WHEAT CRL",396.0,15.6,2.03,78.8,10.0,0.442,1.0,1.1,25.0,53.0,412.0,1.0,1.01,
382,"CEREALS,MALT-O-MEAL,FARINA HOT WHEAT CRL,DRY",362.0,13.3,1.28,74.3,10.0,0.306,1.0,0.7,377.0,39.6,140.0,1.0,,
383,"CEREALS RTE,MALT-O-MEAL,MAPLE & BRWN SGR HOT WHT CRL,DRY",377.0,8.0,0.75,84.5,10.0,0.19,1.0,35.6,314.0,31.9,130.0,1.0,,
384,"CEREALS RTE,MALT-O-MEAL,PUFFED RICE CRL",401.0,7.8,0.97,90.2,5.0,0.297,1.0,0.8,5.0,44.5,103.0,1.0,0.12,
385,"CEREALS RTE,MALT-O-MEAL,FRSTD MINI SPOONERS",388.0,9.4,2.08,82.9,18.0,0.393,1.0,17.9,27.0,38.7,340.0,1.0,,
386,"CEREALS RTE,RALSTON ENR BRAN FLAKES",310.0,10.21,3.36,79.77,813.0,0.433,,17.17,45.0,67.67,630.0,239.7,80.46,
387,"CEREALS RTE,RALSTON CORN BISCUITS",367.0,5.83,1.05,85.79,1070.0,0.193,,9.51,378.0,38.37,90.0,18.5,0.1,
388,"CEREALS RTE,RALSTON CRISPY HEXAGONS",379.0,5.94,0.95,86.78,816.0,0.263,,9.57,8.0,34.67,99.0,43.8,0.05,
389,"CEREALS RTE,USDA CMDTY CORN & RICE (INCLUDES ALL  BRANDS)",378.0,6.06,1.08,86.85,795.0,0.26,,10.35,10.0,34.06,105.0,38.5,0.08,
390,"CEREALS,CRM OF WHEAT,2 1/2 MINUTE COOK TIME,DRY",355.0,11.61,1.41,71.79,328.0,0.253,,0.47,882.0,32.02,160.0,0.0,0.37,
391,"CEREALS RTE,GENERAL MILLS,TOTAL,CRANBERRY CRUNCH",328.0,6.9,1.72,78.0,328.0,0.414,0.0,27.59,1724.0,31.03,241.0,0.0,23.28,4.3
392,"CEREALS RTE,GENERAL MILLS,TOTAL,BLUEBERRY POMEGRANATE",353.0,9.3,3.7,76.8,195.0,0.8,0.0,21.9,2041.0,36.7,287.0,122.4,,5.1
393,"COCOA MIX,NO SUGAR ADDED,PDR",377.0,15.49,3.0,71.93,876.0,1.777,0.0,37.65,576.0,4.96,2702.0,0.0,0.04,0.0
394,"COFFEE,INST,REG,PDR,HALF THE CAFFEINE",350.0,14.42,0.5,70.6,37.0,0.197,0.0,0.0,141.0,4.41,3535.0,0.0,0.0,0.0
395,"COFFEE&COCOA (MOCHA) PDR,W/WHTNR&LO CAL SWTNR,DECAFFEINATED",257.0,9.0,13.21,71.4,500.0,11.376,0.0,34.98,60.0,3.06,1856.0,0.0,0.09,0.0
396,"COFFEE,INST,REG,PDR",241.0,12.2,0.5,41.1,37.0,0.197,0.0,0.0,141.0,4.41,3535.0,0.0,0.0,0.0
397,"COFFEE,INST,DECAFFEINATED,PDR",224.0,11.6,0.2,42.6,23.0,0.101,0.0,0.0,140.0,3.8,3501.0,0.0,0.0,0.0
398,"ACEROLA,(WEST INDIAN CHERRY),RAW",32.0,0.4,0.3,7.69,7.0,0.068,0.0,,12.0,0.2,146.0,1677.6,,
399,"ACEROLA JUICE,RAW",23.0,0.4,0.3,4.8,3.0,0.068,0.0,4.5,10.0,0.5,97.0,1600.0,0.18,
400,"COFFEE,INST,W/CHICORY,PDR",351.0,9.3,0.2,74.2,277.0,0.071,0.0,,103.0,4.76,3395.0,0.0,,
401,"COFFEE SUB,CRL GRAIN BEV,PDR",360.0,6.01,2.52,78.42,83.0,0.603,0.0,4.63,58.0,4.6,2443.0,0.0,0.98,0.0
402,"FRUIT PUNCH DRK,FRZ CONC",162.0,0.2,0.0,41.4,8.0,0.003,0.0,,8.0,0.3,44.0,155.6,,
403,"LEMONADE,LO CAL,W/ASPRT,PDR",332.0,3.6,0.3,83.7,10.0,0.039,0.0,0.0,3098.0,5.7,11.0,394.0,0.0,0.0
404,"MALTED DRK MIX,NAT,W/ ADDED NUTR,PDR",372.0,9.41,1.33,83.59,259.0,0.679,0.0,63.38,376.0,12.7,591.0,127.0,0.06,23.5
405,"MALTED DRK MIX,CHOC,W/ ADDED NUTR,PDR",389.0,4.9,3.4,84.6,594.0,1.964,0.0,70.56,443.0,17.38,1193.0,150.1,0.03,23.8
406,"TEA,INST,UNSWTND,PDR,DECAFFEINATED",315.0,20.21,0.0,58.66,72.0,0.0,0.0,5.53,118.0,2.26,6040.0,0.0,0.0,0.0
407,"TEA,INST,SWTND W/NA SACCHARIN,LEMON-FLAV,PDR,DECAFFEINATED",338.0,3.3,0.6,85.4,412.0,0.0,0.0,1.88,21.0,8.87,2568.0,0.0,0.0,0.0
